iter	RMSE
400	4.434335684
401	4.430353662
402	4.426424778
403	4.425570129
404	4.421693035
405	4.417867682
406	4.414093386
407	4.410369469
408	4.40952445
409	4.405907044
410	4.402281442
411	4.398762924
412	4.397928175
413	4.394398248
414	4.390975361
415	4.387539122
416	4.386774806
417	4.383444763
418	4.380161059
419	4.376923047
420	4.373730086
421	4.372974937
422	4.369825738
423	4.366910464
424	4.364044119
425	4.360934612
426	4.357868356
427	4.355045996
428	4.3542338
429	4.351207745
430	4.348429891
431	4.345443979
432	4.342710552
433	4.341907564
434	4.338960835
435	4.336055072
436	4.333362749
437	4.33071516
438	4.327846159
439	4.327112535
440	4.324282845
441	4.321675204
442	4.318883105
443	4.316316896
444	4.315592751
445	4.312837214
446	4.310311305
447	4.307592409
448	4.305106495
449	4.304391733
450	4.301708486
451	4.299261474
452	4.296613943
453	4.294205547
454	4.291593272
455	4.290887302
456	4.288516474
457	4.287749313
458	4.285171018
459	4.282836876
460	4.280292949
461	4.277995474
462	4.275810883
463	4.271317933
464	4.268803699
465	4.266539428
466	4.264058732
467	4.261829878
468	4.259382291
469	4.257188249
470	4.254773347
471	4.25239203
472	4.25023089
473	4.249470616
474	4.247120841
475	4.24499282
476	4.244242572
477	4.241923933
478	4.239828489
479	4.239088128
480	4.236800225
481	4.234736823
482	4.230274815
483	4.228015036
484	4.225981964
485	4.22375242
486	4.221750846
487	4.219551149
488	4.218817932
489	4.216846819
490	4.214676349
491	4.214012232
492	4.212270364
493	4.207855304
494	4.205710982
495	4.20359649
496	4.201674015
497	4.200956171
498	4.198869824
499	4.197168869
500	4.193409587
501	4.192759966
502	4.188392224
503	4.186329642
504	4.184647546
505	4.180945541
506	4.178909114
507	4.178266938
508	4.176258481
509	4.174595822
510	4.170275666
511	4.168291764
512	4.166650005
513	4.162999471
514	4.162301486
515	4.160342587
516	4.157708682
517	4.154118834
518	4.152493701
519	4.14821434
520	4.146277058
521	4.144366691
522	4.142761015
523	4.14207167
524	4.14145113
525	4.137911808
526	4.133682835
527	4.131794071
528	4.130206056
529	4.122950352
530	4.122275565
531	4.120408809
532	4.114136163
533	4.111966795
534	4.107772542
535	4.106197924
536	4.102745415
537	4.09654301
538	4.094690871
539	4.089931514
540	4.085779808
541	4.084219805
542	4.080811265
543	4.07897867
544	4.074280839
545	4.073610678
546	4.069504472
547	4.067693206
548	4.06306215
549	4.059543122
550	4.056173299
551	4.055509938
552	4.052198216
553	4.047627775
554	4.04355414
555	4.041757741
556	4.037252589
557	4.036596152
558	4.034822568
559	4.033267708
560	4.029995007
561	4.025964904
562	4.021517123
563	4.019762259
564	4.017257099
565	4.014029402
566	4.009644989
567	4.005651989
568	4.003915577
569	4.000397623
570	3.997212212
571	3.992881825
572	3.989746804
573	3.985793813
574	3.981522488
575	3.979800556
576	3.977307382
577	3.975634723
578	3.97254046
579	3.96862826
580	3.962438251
581	3.955534021
582	3.953973973
583	3.951499781
584	3.947628198
585	3.943414098
586	3.940968728
587	3.935362383
588	3.931532744
589	3.92986511
590	3.926882333
591	3.925334513
592	3.919867228
593	3.916081329
594	3.913652321
595	3.908280098
596	3.904541168
597	3.899265649
598	3.895576643
599	3.894041493
600	3.891213249
601	3.888801892
602	3.885158945
603	3.879031909
604	3.875600653
605	3.872213533
606	3.870693974
607	3.8673502
608	3.862174689
609	3.858869442
610	3.85525602
611	3.853754701
612	3.850488594
613	3.845396045
614	3.842167678
615	3.836130221
616	3.832938256
617	3.827925466
618	3.822018622
619	3.818858466
620	3.815739185
621	3.812142664
622	3.809060674
623	3.807318608
624	3.801531034
625	3.798482605
626	3.795473691
627	3.793755067
628	3.788790503
629	3.783120924
630	3.780140849
631	3.776568612
632	3.773624231
633	3.768076508
634	3.765165777
635	3.763462928
636	3.760588708
637	3.758912451
638	3.75637122
639	3.754721207
640	3.74864388
641	3.746202828
642	3.743796096
643	3.73834282
644	3.735489499
645	3.731929693
646	3.730296481
647	3.727476115
648	3.721497646
649	3.719109491
650	3.716754864
651	3.715354242
652	3.712562798
653	3.707201438
654	3.704442047
655	3.703742289
656	3.701018392
657	3.699416911
658	3.697084525
659	3.693539472
660	3.691961695
661	3.686067466
662	3.684321095
663	3.679054651
664	3.676350021
665	3.673680613
666	3.671365423
667	3.669277102
668	3.665757437
669	3.660598125
670	3.657945695
671	3.65532792
672	3.649510676
673	3.646922604
674	3.641867173
675	3.639309571
676	3.636940872
677	3.63460348
678	3.629559925
679	3.627028991
680	3.624531161
681	3.622217951
682	3.619935337
683	3.614292761
684	3.612543677
685	3.607475367
686	3.605747123
687	3.605043268
688	3.604349391
689	3.6029704
690	3.600491659
691	3.598227499
692	3.595993238
693	3.595308096
694	3.593103177
695	3.591392408
696	3.588940104
697	3.58736071
698	3.585181357
699	3.583490363
700	3.578504037
701	3.577826117
702	3.57647532
703	3.575856978
704	3.572303886
705	3.570145717
706	3.568470417
707	3.566339668
708	3.563905054
709	3.562358785
710	3.560702874
711	3.555886104
712	3.553477653
713	3.551367409
714	3.546452744
715	3.541633223
716	3.540308192
717	3.537923123
718	3.535832462
719	3.535163661
720	3.533100439
721	3.531584234
722	3.529547369
723	3.524720984
724	3.519165175
725	3.517512476
726	3.515145101
727	3.514482427
728	3.51246393
729	3.511165374
730	3.508827049
731	3.508219229
732	3.503567569
733	3.501930201
734	3.499291648
735	3.496697536
736	3.495079068
737	3.491498922
738	3.490006966
739	3.4884072
740	3.485848975
741	3.485247022
742	3.481711267
743	3.480240343
744	3.478657414
745	3.47664581
746	3.475083164
747	3.472558433
748	3.471297382
749	3.467801779
750	3.46581195
751	3.463848418
752	3.459128157
753	3.457187877
754	3.455273259
755	3.450653883
756	3.448308008
757	3.446414871
758	3.444098451
759	3.442653394
760	3.441029463
761	3.439158573
762	3.433891503
763	3.432652668
764	3.430802977
765	3.426530837
766	3.425876385
767	3.424333112
768	3.419975281
769	3.419329069
770	3.417027309
771	3.416434649
772	3.415207714
773	3.412935442
774	3.407555017
775	3.405868272
776	3.403407945
777	3.399895844
778	3.398362044
779	3.395937924
780	3.394528432
781	3.393013103
782	3.389543646
783	3.387979884
784	3.386776555
785	3.384945971
786	3.380744556
787	3.378348433
788	3.376866066
789	3.373432164
790	3.369960311
791	3.3685803
792	3.364425509
793	3.362892844
794	3.361712994
795	3.359343071
796	3.35524549
797	3.353792152
798	3.351457187
799	3.348063676
800	3.346565475
801	3.342518861
802	3.341876622
803	3.340705057
804	3.338892553
805	3.337470668
806	3.333317431
807	3.32905716
808	3.325691185
809	3.321607843
810	3.319305947
811	3.315135388
812	3.312877542
813	3.309545432
814	3.308905694
815	3.307100953
816	3.303696031
817	3.301413534
818	3.300323444
819	3.2989711
820	3.29720288
821	3.296052613
822	3.292048072
823	3.289789649
824	3.286504054
825	3.283166982
826	3.282094494
827	3.280358247
828	3.279038288
829	3.275764345
830	3.274272744
831	3.270155852
832	3.267913358
833	3.26685642
834	3.265152283
835	3.263850445
836	3.259788497
837	3.257562751
838	3.255366174
839	3.252138886
840	3.251096516
841	3.249423189
842	3.245410792
843	3.24323644
844	3.242208623
845	3.240553718
846	3.239542705
847	3.235583794
848	3.233432555
849	3.231309507
850	3.230312333
851	3.225987107
852	3.222815964
853	3.221833094
854	3.220205493
855	3.2181031
856	3.217135513
857	3.212895993
858	3.209778547
859	3.205622817
860	3.203539756
861	3.202583855
862	3.20164393
863	3.200533612
864	3.19847587
865	3.197552411
866	3.194992364
867	3.194083495
868	3.192990247
869	3.192097884
870	3.188143905
871	3.186106321
872	3.184095439
873	3.181033816
874	3.180152575
875	3.175996175
876	3.171928954
877	3.169936622
878	3.16906673
879	3.165161537
880	3.161184702
881	3.157930326
882	3.155956349
883	3.154008258
884	3.153148178
885	3.149301436
886	3.145405175
887	3.142183081
888	3.140253026
889	3.136467705
890	3.134560492
891	3.133708831
892	3.129990245
893	3.126169813
894	3.122975436
895	3.121085997
896	3.117426627
897	3.11368732
898	3.11052761
899	3.108656431
900	3.107811366
901	3.104778053
902	3.101172018
903	3.097506803
904	3.094391266
905	3.092535987
906	3.091700435
907	3.088150537
908	3.08631677
909	3.085493211
910	3.082413196
911	3.07994234
912	3.076988545
913	3.076176301
914	3.072677535
915	3.069070239
916	3.065633427
917	3.062603392
918	3.06077942
919	3.057249036
920	3.05544677
921	3.052062351
922	3.049063975
923	3.048257124
924	3.044801086
925	3.043016021
926	3.041279418
927	3.038315068
928	3.035912404
929	3.035115286
930	3.03179665
931	3.028409189
932	3.025487496
933	3.023715468
934	3.020833577
935	3.02004557
936	3.017704968
937	3.014432479
938	3.012678171
939	3.009808585
940	3.007001596
941	3.006222808
942	3.002889747
943	2.999665097
944	2.99792615
945	2.994759053
946	2.991498659
947	2.988661514
948	2.98693991
949	2.986168432
950	2.983394389
951	2.9826348
952	2.979512855
953	2.976718599
954	2.974470003
955	2.971267955
956	2.96955981
957	2.966485457
958	2.963730428
959	2.962978027
960	2.960277197
961	2.958586174
962	2.956394859
963	2.955652944
964	2.952623098
965	2.949478037
966	2.946768501
967	2.944134278
968	2.942457107
969	2.941723801
970	2.93958895
971	2.936601576
972	2.933517806
973	2.930853364
974	2.929245611
975	2.927582663
976	2.924952947
977	2.922388398
978	2.921661851
979	2.920947095
980	2.918419935
981	2.91771612
982	2.91657896
983	2.915887582
984	2.915207365
985	2.914538115
986	2.913419705
987	2.912762208
988	2.912115271
989	2.911014223
990	2.910378592
991	2.909753132
992	2.909169255
993	2.90711377
994	2.90653832
995	2.905971566
996	2.904371832
997	2.901332333
998	2.899753042
999	2.897164026
